Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Романчук,Зорян,Вікторович,Чоловіча,10.01.1995,Педагог,селище Гадяч,"узвіз Каспійський, буд. 952, Світлодарськ, 37345",137 76 60,datsiukvasylyna@example.com
Рябченко,Орина,Вікторівна,Жіноча,18.09.1996,Архітектор,місто Новогродівка,"вулиця Кримська, буд. 79 кв. 6, Біла Церква, 86134",+380 88 507-19-50,esatsiuk@example.com
Дзюба,Йосип,Іванович,Чоловіча,16.04.1999,Фотограф,селище Новодністровськ,"шосе Гранатний, буд. 63 кв. 277, Миргород, 21246",485 78 38,viktoriiaeibozhenko@example.org
Авдєєнко,Симон,Сергійович,Чоловіча,23.09.2008,Мистецтвознавець,селище Дергачі,"вулиця Радіо, буд. 8, Новомиргород, 24532",+380 95 827 50 51,amalyk@example.com
Затовканюк,Феофан,Вікторович,Чоловіча,01.03.1971,Програміст,селище Ланівці,"набережна Шостої 1-й, буд. 374, Малин, 71059",+380 (18) 142-68-50,fdrobiazko@example.org
Атаманюк,Яків,Васильович,Чоловіча,06.05.1991,Бібліотекар,село Київ,"площа Естонський, буд. 328, Тальне, 46141",+380 33 209-25-01,azar48@example.com
Дрозденко,Богуслав,Вікторович,Чоловіча,15.05.1945,Електромонтер,місто Білгород-Дністровський,"проспект Бучми, буд. 5 кв. 252, Луганськ, 33154",773-52-95,alevtyniaremkiv@example.com
Петлюра,Вадим,Миколайович,Чоловіча,07.07.2004,Лікар,хутір Сновськ,"провулок 11-та Суворовська, буд. 41 кв. 3, Гайворон, 97544",+380 72 629-17-16,shcherbanliza@example.net
Закусило,Ігор,Сергійович,Чоловіча,13.02.1951,Мистецтвознавець,селище Костянтинівка,"парк Інтернаціональний, буд. 48, Буринь, 73235",758-68-76,baranoryna@example.org
Дрозд,Василь,Миколайович,Чоловіча,25.09.1961,Штукатур,хутір Соснівка ,"набережна Польова, буд. 12, Київ, 44091",+380 88 972-80-06,hanna51@example.net
Чалий,Маруся,Олександрівна,Жіноча,14.05.1974,Геофізик,місто Самбір,"шосе Андросовський, буд. 314, Володимир-Волинський, 94294",035 294 78 94,semen99@example.org
Терещук,Євген,Сергійович,Чоловіча,09.07.1962,Провізор,село Червоносів,"площа Гвоздичний, буд. 405, Красноперекопськ, 59176",206-19-07,khorishkopylyp@example.net
Александренко,Пилип,Сергійович,Чоловіча,09.08.1941,Єгер,місто Ворожба,"набережна Ушинського, буд. 586, Луганськ, 60281",+380 72 942 01 45,ovcharenkomykhailo@example.org
Арсенич,Амвросій,Володимирович,Чоловіча,04.08.1980,Кухар,хутір Свалява,"вулиця Левкоєва, буд. 449, Рожище, 53271",+380 92 528-62-85,lvysochan@example.com
Саченко,Тереза,Сергіївна,Жіноча,23.11.2000,Різноробочий,місто Херсон,"шосе Профспілкова, буд. 963 кв. 2, Новоукраїнка, 80078",+380 03 998 29 05,balabanielysaveta@example.com
Дубенко,Марʼяна,Вікторівна,Жіноча,26.03.2000,Музичний редактор,хутір Южне,"парк Єфімова, буд. 66 кв. 62, Бердичів, 12435",069 713-49-01,mykhailoolifirenko@example.com
Литвиненко,Михайлина,Михайлівна,Жіноча,28.05.1959,Кіноактор,хутір Люботин,"узвіз Ширшова, буд. 10 кв. 10, Ямпіль, 15978",798-16-81,ftymchenko@example.org
Михайлюк,Амалія,Іванівна,Жіноча,24.10.1989,Перекладач,селище Зугрес,"узвіз Верещагіна, буд. 17 кв. 06, Новогродівка, 76085",+380 (00) 109-50-46,cbazylevych@example.com
Бевз,Аарон,Васильович,Чоловіча,26.02.1955,Краєзнавець,хутір Сватове,"провулок Лінія 24-та, буд. 784 кв. 14, Зугрес, 30145",006-57-79,mkabaliuk@example.net
Приймак,Данило,Вікторович,Чоловіча,26.10.1954,Мовознавець,село Ладижин,"набережна Скворцова, буд. 11, Шаргород, 30568",+380 (64) 483-66-23,kyrylo93@example.com
Піддубний,Єлисавета,Сергіївна,Жіноча,20.04.1986,Художник,село Сновськ,"сквер Бібліотечна, буд. 6 кв. 42, Тараща, 61067",+380 06 511 01 41,amvrosii07@example.org
Бандурка,Валентина,Сергіївна,Жіноча,18.10.1989,Електромонтер,село Родинське,"набережна Степний 2-й, буд. 132 кв. 387, Українськ, 30341",+380 51 235-93-90,tbalaban@example.com
Василашко,Тарас,Миколайович,Чоловіча,07.07.1945,Няня,село Підгайці,"вулиця Крутоярська, буд. 95 кв. 9, Миколаїв, 99907",605 97 54,revaruslan@example.net
Цимбалюк,Ярослава,Миколаївна,Жіноча,18.05.1961,Літературознавець,хутір Кагарлик,"парк Деревообробний 5-й, буд. 065 кв. 1, Чуднів, 71558",+380 11 038-68-08,stelmakhhordii@example.com
Андрощук,Аарон,Сергійович,Чоловіча,13.03.1943,Актор,місто Березань ,"узвіз Розумовський 1-й, буд. 126 кв. 5, Ялта, 94189",+380 (96) 732-01-37,rzasenko@example.org
Чабан,Одарка,Сергіївна,Жіноча,07.08.1947,Кухар,хутір Міусинськ,"парк Амбулаторний 1-й, буд. 4, Ізмаїл, 62250",+380 (01) 992-27-76,edyta05@example.org
Зубко,Валентина,Василівна,Жіноча,29.12.2000,Кінокритик,хутір Одеса,"площа Корнюшина, буд. 731, Первомайськ, 12721",+380 59 840-13-41,avhustynprykhodko@example.org
Черненко,Леонід,Володимирович,Чоловіча,06.08.1941,Кінолог,хутір Ірпінь,"площа Стражеска Миколи, буд. 87, Мелітополь, 74049",058 891 38 80,myron61@example.net
Стус,Ярема,Васильович,Чоловіча,24.07.1990,Маркетолог,село Долинська,"площа Шилова, буд. 7 кв. 508, Тульчин, 47609",+380 (32) 789-69-82,gbaklan@example.org
Сагаль,Аврелій,Васильович,Чоловіча,08.03.1992,Пілот,селище Алчевськ,"проспект Олексіївська, буд. 43 кв. 9, Канів, 66450",037 792-68-19,iaremavasylashko@example.net
Рудик,Еріка,Іванівна,Жіноча,26.01.1944,Ювелір,селище Верхньодніпровськ,"сквер Пересипська 3-тя, буд. 7 кв. 6, Довжанськ, 46144",+380 48 825 09 36,iustymshukhevych@example.org
Скоробогатько,Пармен,Миколайович,Чоловіча,05.10.1973,Правник,село Семенівка,"площа Сільська, буд. 50 кв. 94, Березань , 52647",777-01-51,bezborodkyzynovii@example.com
Короленко,Прохір,Вікторович,Чоловіча,12.05.2008,Лікар,селище Миронівка,"площа Льва Толстого, буд. 33, Чорнобиль, 64903",+380 47 497-14-89,zorian35@example.net
Ящук,Руслан,Іванович,Чоловіча,19.05.1990,Єгер,селище Запоріжжя,"проспект Іспанський, буд. 6, Ямпіль, 10580",+380 (12) 271-20-54,gartiukh@example.net
Мазур,Марко,Володимирович,Чоловіча,27.10.2007,Менеджер,місто Новий Буг,"парк Молоді, буд. 34, Перемишляни, 34995",+380 (60) 271-06-34,volodymyriakymchuk@example.com
Слюсар,Тарас,Вікторович,Чоловіча,13.11.1962,Математик,село Амвросіївка,"шосе Пестеля, буд. 64, Сєвєродонецьк, 58044",063 015 18 51,aaleksiichuk@example.net
Вдовиченко,Віктор,Олександрович,Чоловіча,01.04.1999,Випробувач,селище Антрацит ,"провулок Калинова, буд. 01 кв. 782, Курахове, 16322",041 842 59 43,rzhuchenko@example.com
Шведченко,Юстим,Сергійович,Чоловіча,21.11.1978,Епідеміолог,хутір Бережани,"провулок Лавкова, буд. 49 кв. 8, Новомосковськ, 84729",+380 42 218-25-96,parmensych@example.net
Павлик,Макар,Михайлович,Чоловіча,15.10.1969,Клоун,хутір Лохвиця,"провулок Матроська Слобідка, буд. 5 кв. 6, Миколаїв, 71203",+380 48 477-29-59,haidenkobohuslav@example.org
Архипенко,Василина,Сергіївна,Жіноча,20.02.1951,Юрист,село Радомишль,"проспект Гвоздичний, буд. 86, Буча, 58503",+380 (21) 200-33-11,solomiia77@example.com
Колодуб,Герман,Миколайович,Чоловіча,14.10.1988,Фермер,хутір Стрий,"парк Лінія 54-та, буд. 23 кв. 72, Кам'янка (Черкаська область), 97359",021 236 12 70,martyn43@example.net
Байдак,Дан,Васильович,Чоловіча,29.09.1975,Астрофізик,селище Умань,"шосе Ювілейний 2-й, буд. 9, Фастів, 29063",410 16 68,shevchenkookhrim@example.org
Дрозденко,Галина,Володимирівна,Жіноча,09.01.1956,Літературознавець,селище Алчевськ,"вулиця 4-та Суворовська, буд. 114 кв. 80, Глухів, 63989",+380 92 934 93 57,darahanstepan@example.net
Чарниш,Віктор,Сергійович,Чоловіча,14.05.1970,Режисер,місто Керч,"узвіз Крилова, буд. 58, Березне, 16229",+380 38 564-09-47,zarubasofiia@example.net
Філіпенко,Юстина,Миколаївна,Жіноча,30.03.1944,Актор,хутір Армянськ,"узвіз Прорізна, буд. 05 кв. 1, Запоріжжя, 60483",097 655-23-09,iaroslava92@example.net
Данчук,Розалія,Миколаївна,Жіноча,04.10.1960,Електрик,селище Кропивницький,"проспект П'ята, буд. 40, Зеленодольськ, 48908",+380 78 231-67-68,oandriichuk@example.com
Батіг,Давид,Миколайович,Чоловіча,22.04.1984,Мінералог,село Лубни,"сквер Об'їзна дорога, буд. 9, Богодухів, 25007",095 314-53-43,orynakorsun@example.net
Іванченко,Климент,Вікторович,Чоловіча,15.06.2007,Ювелір,селище Бершадь,"сквер Ломоносова, буд. 423, Татарбунари, 89817",018-59-85,iakiv37@example.com
Дейнека,Валентин,Миколайович,Чоловіча,08.04.1962,Ветеринар,місто Тлумач,"площа Балтський 7-й, буд. 40, Христинівка, 88037",704 51 73,andriienkoanita@example.com
Деряжний,Тетяна,Миколаївна,Жіноча,23.05.1996,Мікробіолог,хутір Очаків,"площа Штурманська, буд. 5 кв. 0, Умань, 77316",+380 14 507 89 29,mariiavatamaniuk@example.org
Ящук,Нестор,Миколайович,Чоловіча,09.03.1994,Професор,село Іршава,"провулок Крилова, буд. 6 кв. 6, Білогірськ, 57299",+380 59 544 75 71,bbatih@example.org
Бабариченко,Орина,Олександрівна,Жіноча,22.12.1989,Електромонтер,хутір Нетішин,"провулок Сибірська, буд. 026 кв. 27, Бердянськ, 09651",024 731 17 52,panchukpylyp@example.org
Франко,Ірина,Василівна,Жіноча,07.09.1987,Паралегал,село Богодухів,"сквер Михайла Жванецького, буд. 44 кв. 700, Хоростків, 43055",+380 60 434-92-78,klymenthuzenko@example.net
Жадан,Орина,Іванівна,Жіноча,18.12.1939,Ґрунтознавець,хутір Переяслав,"набережна Рєпіна, буд. 3 кв. 446, Шаргород, 04534",+380 (16) 923-33-69,roksolanavasylenko@example.net
Хомик,Ілля,Сергійович,Чоловіча,13.10.1997,Археолог,село Белз,"вулиця Пішонівська, буд. 22 кв. 8, Синельникове, 74831",+380 36 857-31-10,ielysaveta43@example.net
Абраменко,Климент,Вікторович,Чоловіча,14.07.1993,Електрик,село Щолкіне,"узвіз Короткий, буд. 6 кв. 7, Моршин, 44265",+380 77 679 58 39,viktor40@example.com
Євтушенко,Марта,Сергіївна,Жіноча,27.10.1977,Євнух,селище Новодністровськ,"парк Кільовий, буд. 7, Старий Самбір, 01354",322-46-71,dmytroshvedchenko@example.com
Скиба,Соломія,Олександрівна,Жіноча,14.04.1990,Редактор,хутір Попасна,"проспект Селищна, буд. 696, Кам'янець-Подільський, 30267",098 55 55,okseniiamamchur@example.com
Міщенко,Еріка,Іванівна,Жіноча,28.01.1944,Візажист,село Малин,"набережна Кавказький, буд. 51, Верхньодніпровськ, 48616",092 143-11-98,otalan@example.net
Сірко,Ліза,Іванівна,Жіноча,14.03.1962,Гірник,хутір Любомль,"проспект Омська, буд. 354, Тисмениця, 07163",187-80-85,nehodaonysym@example.net
Оніщук,Нестор,Васильович,Чоловіча,13.05.1983,Антрополог,селище Батурин,"парк Залізнична, буд. 335 кв. 0, Червоносів, 63512",004 215-51-32,fshvachka@example.org
Гайденко,Герман,Олександрович,Чоловіча,19.01.1952,Футболіст,місто Кам'янка (Черкаська область),"площа Латвійський узвіз, буд. 02 кв. 9, Снятин, 97260",+380 63 485 41 80,olehshvachko@example.com
Дацюк,Мартин,Васильович,Чоловіча,16.01.1956,Електромонтер,хутір Хуст,"вулиця Глиняна, буд. 0 кв. 83, Первомайськ, 07285",+380 61 682 80 74,markobhydenko@example.org
Бебешко,Орест,Васильович,Чоловіча,30.12.1992,Фармацевт,селище Львів,"провулок Семінарська, буд. 335, Бібрка, 89154",+380 (22) 145-88-64,maksym23@example.com
Литвин,Трохим,Миколайович,Чоловіча,21.04.1940,Кіноактор,селище Бунге ,"шосе Льва Симиренка, буд. 78 кв. 6, Мена , 63962",+380 48 447-46-94,rlevchenko@example.com
Власенко,Ганна,Олександрівна,Жіноча,24.11.1970,Кінорежисер,місто Прип'ять ,"набережна Історія Футболу, буд. 346 кв. 336, Мостиська, 26195",+380 57 980 57 35,oryna48@example.org
Баранець,Єфрем,Михайлович,Чоловіча,17.06.1961,Живописець,хутір Ланівці,"площа Спортивний, буд. 73, Рахів, 67549",703 68 40,mykhailynabaran@example.com
Ребрик,Захар,Сергійович,Чоловіча,22.07.1976,Геофізик,хутір Бахчисарай,"вулиця Східний, буд. 1, Борзна, 94017",+380 (10) 286-10-01,feofanmiroshnychenko@example.net
Андрієвич,Пилип,Миколайович,Чоловіча,03.07.2003,Правник,місто Новий Калинів,"набережна Теплична, буд. 071, Тальне, 79792",948 32 27,svyrydenkodanylo@example.org
Шеремета,Володимира,Михайлівна,Жіноча,18.01.1964,Бібліограф,село Синельникове,"площа Нежданової, буд. 3 кв. 66, Боярка, 60222",+380 (12) 735-74-21,tdakhno@example.org
Баранець,Михайло,Володимирович,Чоловіча,02.11.1984,Сценарист,село Старобільськ,"провулок Василя Симоненка, буд. 44, Знам'янка, 99368",+380 34 958 96 32,ieromenkokhrystyna@example.com
Михайлюк,Стефан,Михайлович,Чоловіча,17.06.1975,Фізик,селище Зіньків,"узвіз Брестська, буд. 6 кв. 252, Верхньодніпровськ, 37356",+380 31 383-22-41,hfilipenko@example.com
Приходько,Варвара,Володимирівна,Жіноча,22.02.1961,Ботанік,хутір Гуляйполе,"площа Восьмого березня 1-й, буд. 1 кв. 98, Тараща, 80171",091 314 34 06,hordiiiashchuk@example.com
Стельмах,Дан,Михайлович,Чоловіча,17.04.1990,Драматург,село Калинівка ,"вулиця Лінія 25-та, буд. 236 кв. 1, Гадяч, 60170",+380 69 576 03 83,tovstukhasemen@example.com
Іваничук,Юстим,Олександрович,Чоловіча,28.10.2006,Архітектор,хутір Корюківка,"набережна Рибальська, буд. 189 кв. 27, Остер , 90756",338 23 84,eturkalo@example.org
Деряжний,Наталія,Михайлівна,Жіноча,02.08.1969,Дерун,село Харків,"набережна Пересипська 8-ма, буд. 7 кв. 54, Ананьїв, 47732",+380 73 527-24-18,marta63@example.com
Андрейко,Дарина,Володимирівна,Жіноча,02.04.1982,Співак,хутір Бар,"парк 1-й Академічний тупик, буд. 5, Волочиськ, 90077",780 57 96,veniiamynkhudobiak@example.org
Макаренко,Федір,Михайлович,Чоловіча,28.11.1992,Менеджер,місто Жовті Води,"парк Красносільська, буд. 769 кв. 66, Хоростків, 13418",+380 (24) 075-59-17,khrystynachaika@example.com
Яременко,Тарас,Олександрович,Чоловіча,04.09.1978,Випробувач,місто Глобине,"провулок Юрія Яновського, буд. 8 кв. 833, Виноградів, 84212",+380 35 133-93-36,mkorzh@example.net
Шаблій,Галина,Михайлівна,Жіноча,19.07.1947,Парфюмер,селище Володимир-Волинський,"парк Василя Кандинського 4-й, буд. 458, Краматорськ, 96323",212 24 14,asuprunenko@example.com
Жученко,Вадим,Васильович,Чоловіча,21.05.1986,Вчитель,селище Карлівка,"шосе Бахчева, буд. 779, Львів, 47427",397 39 00,anzhela05@example.net
Свистун,Пармен,Миколайович,Чоловіча,01.12.1946,Адвокат,село Амвросіївка,"набережна Черняховського, буд. 237, Бережани, 08341",+380 03 251 23 95,artymyshynheorhii@example.com
Швачко,Ліза,Миколаївна,Жіноча,20.03.1972,Кінолог,село Перещепине,"проспект Сонячна, буд. 2, Кривий Ріг, 26171",+380 (65) 257-57-10,ustym86@example.net
Бевз,Володимира,Вікторівна,Жіноча,26.10.1995,Астронавт,місто Липовець,"проспект Лінія 26-та, буд. 1 кв. 395, Долинська, 43092",+380 (05) 735-02-40,skanivets@example.org
Лавренко,Аліна,Іванівна,Жіноча,11.05.1953,Професор,село Перещепине,"шосе Висока, буд. 83 кв. 5, Верхівцеве, 16528",+380 72 835-90-08,klyment60@example.com
Вернигора,Леонід,Михайлович,Чоловіча,13.09.1963,Електрик,селище Синельникове,"парк Хімічний 2-й, буд. 5 кв. 5, Ніжин, 20292",+380 93 064 84 01,eibozhenkoiaryna@example.org
Рубець,Світлана,Миколаївна,Жіноча,18.02.1967,Перекладач,місто Горлівка,"шосе Південна дорога, буд. 504, Лохвиця, 04981",008 227 81 54,nazarzakusylo@example.net
Андрусенко,Пилип,Миколайович,Чоловіча,13.06.1943,Письменник,село Євпаторія,"провулок Генуезька, буд. 71 кв. 68, Кагарлик, 70939",997 04 17,goliashiaryna@example.org
Базилевський,Ірена,Миколаївна,Жіноча,07.08.1996,Ді-джей,місто Василівка ,"проспект 12-та ст. Великого Фонтану пляж, буд. 46 кв. 38, Радомишль, 30463",650 60 10,petro39@example.org
Яремко,Галина,Миколаївна,Жіноча,08.11.2006,Кіноактор,село Світлодарськ,"шосе Топольського, буд. 542, Полонне, 78084",630-24-06,anton87@example.net
Ільченко,Тарас,Михайлович,Чоловіча,16.02.1985,Економіст,село Новоазовськ,"сквер Яші Гордієнка, буд. 4 кв. 1, Лохвиця, 95241",119 91 01,oliinyktereza@example.org
Іщак,Любов,Василівна,Жіноча,17.09.1951,Актор,місто Українка ,"парк Бориса Літвака, буд. 435, Сторожинець, 33091",438-20-62,zarudnyivadym@example.com
Доценко,Оксана,Вікторівна,Жіноча,21.09.1973,Археолог,місто Судак ,"парк Агрономічний, буд. 87 кв. 45, Сколе, 02746",+380 02 180-76-17,onysym81@example.net
Вакарчук,Августин,Миколайович,Чоловіча,13.01.1957,Єгер,хутір Тульчин,"проспект Палубний, буд. 82, Почаїв, 79054",+380 (94) 937-71-97,klavdiialaba@example.net
Гоголь,Левко,Миколайович,Чоловіча,29.07.1948,Вчитель,селище Світлодарськ,"площа Олександра Невського 1-й, буд. 90 кв. 53, Глобине, 70067",852 14 57,smykerika@example.org
Архимович,Зиновій,Сергійович,Чоловіча,01.04.1982,Круп'є,селище Виноградів,"провулок Новікова 2-га, буд. 664, Курахове, 76866",+380 41 136-61-09,jkashchenko@example.net
Яковенко,Варфоломій,Сергійович,Чоловіча,05.07.2002,Фрілансер,хутір Золотоноша,"шосе Садова 4-та, буд. 81, Дергачі, 27367",627 42 97,arseniemets@example.net
Полтавець,Лілія,Сергіївна,Жіноча,23.09.1960,Золотар,селище Олександрія,"провулок Восьмого Березня Лінія 2-га, буд. 513, Хрестівка, 82094",+380 15 744-59-90,ustymdeineka@example.org
Артимович,Гордій,Олександрович,Чоловіча,01.10.1994,Філолог,місто Прилуки,"шосе Проектований 4-й, буд. 4, Рені, 98619",606-00-98,qzakharchenko@example.org
Свириденко,Камілла,Василівна,Жіноча,09.12.1962,Географ,місто Золоте,"вулиця Чорноморський 11-й, буд. 8, Новодністровськ, 52624",+380 15 188-11-36,lubenetspanas@example.org
Габелко,Геннадій,Васильович,Чоловіча,02.10.1978,Зоолог,селище Світлодарськ,"шосе Чорноморський 6-й, буд. 29 кв. 2, Оріхів, 39414",029 586-58-18,umanetsirena@example.org
Артим,Аарон,Олександрович,Чоловіча,09.12.1986,Електрик,село Великі Мости,"провулок Амурський 3-й, буд. 202 кв. 41, Вознесенськ, 63777",096 967 46 08,havryliukleon@example.com
Килимник,Ілля,Сергійович,Чоловіча,30.07.1984,Сценарист,місто Сокаль,"парк Амундсена, 1-й, буд. 705, Ялта, 43918",+380 39 023-00-15,pustovitleopold@example.com
Ребрик,Віктор,Михайлович,Чоловіча,31.07.2001,М'ясник,селище Ладижин,"узвіз Парашутний, буд. 342 кв. 89, Кілія, 82152",+380 35 296-46-49,ysimashkevych@example.org
Килимник,Олег,Олександрович,Чоловіча,12.04.1954,Штукатур,селище Довжанськ,"площа Виноградна 1-ша, буд. 2, Галич, 72566",105 18 32,rubanalbert@example.net
Бездітко,Едуард,Володимирович,Чоловіча,11.09.2001,Співак,селище Луцьк,"провулок Героїв прикордонників, буд. 7, Очаків, 43131",061 12 32,svyrydenkoalevtyn@example.net
Юхименко,Златослава,Олександрівна,Жіноча,26.01.1959,Ветеринар,місто Південне ,"шосе Улітіна, буд. 166 кв. 507, Волноваха, 36358",+380 08 053 94 03,vira44@example.net
Єфименко,Ліза,Іванівна,Жіноча,02.04.2004,Перекладач,хутір Бар,"шосе Безіменний, буд. 712, Хорол , 10707",012 562 75 80,ielyseizhuchenko@example.net
Василенко,Артем,Сергійович,Чоловіча,13.08.1983,Юрист,селище Костянтинівка,"площа Маловського, буд. 06, Вашківці, 62092",705-34-42,semen48@example.org
Юхименко,Одарка,Сергіївна,Жіноча,06.12.1953,Дантист,село Христинівка,"узвіз Кустанайська, буд. 2, Балаклія, 54356",+380 (53) 882-36-19,mvashchenko@example.net
Негода,Данна,Михайлівна,Жіноча,11.08.2000,Соціолог,село Березань ,"шосе Весела, буд. 4 кв. 710, Хирів, 67140",+380 (61) 638-29-78,bohdanbabiak@example.net
Товстоліс,Оксенія,Володимирівна,Жіноча,23.09.1998,Паралегал,місто Богодухів,"провулок Проектна 1-ша, буд. 68, Перещепине, 68407",+380 35 922 64 16,tykhyihlib@example.com
Приймак,Лариса,Михайлівна,Жіноча,02.09.1972,Краєзнавець,хутір Тисмениця,"узвіз Рачкова, буд. 77, Керч, 42935",061 528-38-41,qskyrda@example.net
Єрмоленко,Аліна,Сергіївна,Жіноча,05.05.1998,Паблік рилейшнз,село Яремче,"вулиця Першотравневий 3-й, буд. 4, Золотоноша, 87050",077 139 73 96,antonpoltavets@example.org
Гресь,Святослав,Михайлович,Чоловіча,23.03.1982,Бібліотекар,село Вільнянськ,"площа Вернидуба, буд. 5, Радивилів, 88226",+380 11 317-17-56,havryletsarkadii@example.com
Канівець,Ярина,Вікторівна,Жіноча,21.02.1939,Водій,селище Бершадь,"проспект Льва Симиренка, буд. 842, Чернігів, 60103",+380 85 616 90 23,redkooles@example.org
Шморгун,Еріка,Іванівна,Жіноча,16.10.1984,Лікар,місто Корець,"парк Польова, буд. 43, Рожище, 76601",+380 93 865 88 58,ihorpalii@example.com
Деряжний,Аврелій,Васильович,Чоловіча,23.08.1947,Художник,місто Чоп,"проспект Іванівська, буд. 6, Кам'янець-Подільський, 40589",+380 47 741-32-67,iarynaavramchuk@example.net
Дрозд,Вікторія,Володимирівна,Жіноча,12.03.2007,Флорист,село Богуслав,"проспект Педагогічний, буд. 58 кв. 9, Балта, 68464",208 01 21,nadiia54@example.com
Ґерета,Розалія,Іванівна,Жіноча,16.09.1969,Стиліст,місто Снятин,"шосе Косяченка Олексія, буд. 2 кв. 411, Перещепине, 82460",+380 (62) 367-23-67,panteleimon26@example.org
Власюк,Артем,Васильович,Чоловіча,18.08.1999,Юрист,селище Южноукраїнськ,"набережна Аграрна, буд. 73, Красноград, 74624",881-82-20,gkhudobiak@example.org
Гаврилів,Олекса,Володимирович,Чоловіча,16.10.1982,Модель,село Сторожинець,"узвіз Будівельна, буд. 587, Василівка , 77939",+380 52 783-16-60,milenashukhevych@example.com
Івасюк,Франц,Сергійович,Чоловіча,06.09.1938,Стропальник,селище Мала Виска,"провулок Демократична, буд. 41 кв. 67, Збараж, 84211",+380 (48) 253-86-28,okseniiaderhach@example.net
Худяк,Данна,Сергіївна,Жіноча,23.01.1971,Краєзнавець,селище Лохвиця,"сквер Рішельєвська, буд. 9, Перещепине, 35163",+380 84 754-91-07,haievskyinadiia@example.com
Єфименко,Варфоломій,Сергійович,Чоловіча,17.09.1952,Каскадер,хутір Батурин,"провулок Яблучна, буд. 315 кв. 495, Заводське, 71641",094 471 74 04,ivansirobaba@example.net
Ярема,Марко,Володимирович,Чоловіча,14.07.1989,Каскадер,місто Вінниця,"площа Новгородський 2-й, буд. 6, Бобровиця, 55352",+380 89 491-19-28,avhustynzaichenko@example.com
Онуфрієнко,Марʼяна,Миколаївна,Жіноча,04.03.2002,Музичний редактор,селище Богодухів,"вулиця Задніпровського, буд. 07 кв. 2, Вижниця, 31659",012 88 25,hupaloanzhela@example.com
Худяк,Арсен,Михайлович,Чоловіча,08.01.1950,Астрофізик,селище Ковель,"узвіз Віри Інбер, буд. 28, Зугрес, 99371",+380 92 805-48-94,fhrytsenko@example.com
Цибуленко,Остап,Володимирович,Чоловіча,02.03.1980,Художник,село Сулимівка (Слов'янськ),"узвіз Незалежності, буд. 659, Херсон, 32649",+380 02 771-08-58,darynazaika@example.org
Абрагамовський,Вікторія,Володимирівна,Жіноча,13.05.1968,Акушер,селище Монастирище,"узвіз Аеропортівський 4-й, буд. 347, Новомосковськ, 94982",+380 46 372-34-22,dhabelko@example.net
Петренко,Галина,Миколаївна,Жіноча,13.11.1969,Мікробіолог,місто Калуш,"вулиця Глухий міст, буд. 2, Євпаторія, 94262",004 914 20 26,khrystycholeh@example.org
Притула,Прохір,Олександрович,Чоловіча,11.01.1967,Скульптор,місто Старокостянтинів,"вулиця Поїзна, буд. 8 кв. 90, Нова Одеса, 98754",078-28-34,olha48@example.net
Ващук,Софія,Вікторівна,Жіноча,25.07.1984,Фрілансер,хутір Зоринськ,"проспект Північна, буд. 4 кв. 16, Залізне, 67779",443-22-77,okseniiashtokalo@example.net
Заруба,Аліна,Михайлівна,Жіноча,04.01.1939,Фотограф,хутір Луцьк,"шосе Академіка Богатського, буд. 32, Куп'янськ, 88855",045 407-00-08,volodymyra84@example.com
Килимник,Григорій,Миколайович,Чоловіча,06.04.1994,Пекар,село Чистякове,"площа Лиманчик 2-й Лінія 9-та, буд. 82 кв. 465, Ладижин, 90290",277-78-23,vkyrylenko@example.org
Оробець,Альберт,Вікторович,Чоловіча,08.12.1992,Бухгалтер,селище Алмазна,"провулок Путьова, буд. 120, Ніжин, 29553",+380 (21) 508-76-56,sheremetakhrystyna@example.org
Батіг,Герман,Володимирович,Чоловіча,13.12.1974,Продюсер,місто Рені,"узвіз Метрополітенівський, буд. 479, Монастириська, 50149",484-75-27,valentyn91@example.com
Рубан,Петро,Олександрович,Чоловіча,28.11.1976,Різноробочий,село Донецьк,"сквер Середньофонтанська, буд. 944, Кремінна, 48594",823-11-03,vasyl67@example.org
Романенко,Володимира,Василівна,Жіноча,16.07.1948,Модель,хутір Жашків,"парк Першотравневий 2-й, буд. 47 кв. 2, Миколаївка , 93989",+380 67 896-65-74,snikoliuk@example.org
Захаренко,Альберт,Іванович,Чоловіча,02.11.1955,Кур'єр,місто Кременець,"провулок Студентський 4-й, буд. 0, Погребище, 80604",035 913-01-86,nesterenkoliza@example.org
Ватаманюк,Ада,Василівна,Жіноча,30.11.1980,Менеджер,хутір Святогірськ,"шосе Бузковий, буд. 1, Єнакієве, 51910",+380 61 221-83-10,les55@example.org
Червоненко,Кирило,Олександрович,Чоловіча,15.03.1942,Акушер,селище Ямпіль,"парк Новощіпний ряд, буд. 78 кв. 2, Білопілля, 57193",+380 (55) 433-17-50,iukhymenkopanteleimon@example.com
Сацюк,Євген,Васильович,Чоловіча,18.11.1996,Паралегал,село Керч,"площа Новікова 2-га, буд. 487 кв. 14, Ізмаїл, 23697",071-61-27,parmenkadeniuk@example.org
Алексійчук,Артем,Іванович,Чоловіча,26.09.1951,Ювелір,селище Щолкіне,"вулиця Леваневського, буд. 1, Сватове, 33127",+380 88 965-35-71,okhrymovychtymofii@example.net
